Rk,G,2014 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-04-20,WC1,DAL,@,SAS,1,L (-5),0,11:45,2,3,.667,2,2,1.000,0,0,,1,3,4,0,1,1,0,3,6,6.8,+16
2,2,2014-04-23,WC1,DAL,@,SAS,2,W (+21),0,16:20,1,4,.250,0,1,.000,0,0,,1,0,1,0,0,0,0,2,2,-0.5,+9
3,3,2014-04-26,WC1,DAL,,SAS,3,W (+1),0,11:47,2,2,1.000,0,0,,0,0,,1,2,3,0,0,0,1,2,4,2.9,-3
4,4,2014-04-28,WC1,DAL,,SAS,4,L (-4),0,14:26,1,3,.333,0,2,.000,0,0,,0,0,0,0,1,0,1,1,2,-0.1,-4
5,5,2014-04-30,WC1,DAL,@,SAS,5,L (-6),0,7:43,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-0.7,+1
6,6,2014-05-02,WC1,DAL,,SAS,6,W (+2),0,8:13,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,3,3,0.8,-9
7,7,2014-05-04,WC1,DAL,@,SAS,7,L (-23),0,11:04,1,4,.250,0,1,.000,0,0,,0,3,3,2,0,0,0,1,2,1.5,-3
8,1,2015-04-19,EC1,BOS,@,CLE,1,L (-13),0,22:56,4,9,.444,1,3,.333,1,1,1.000,3,2,5,0,1,1,0,4,10,8.1,-5
9,2,2015-04-21,EC1,BOS,@,CLE,2,L (-8),0,29:41,4,10,.400,0,2,.000,2,2,1.000,3,2,5,3,1,0,1,3,10,8.2,-2
10,3,2015-04-23,EC1,BOS,,CLE,3,L (-8),0,30:41,5,6,.833,2,3,.667,4,5,.800,2,5,7,4,2,2,4,5,16,16.5,-2
11,4,2015-04-26,EC1,BOS,,CLE,4,L (-8),1,17:05,2,4,.500,0,2,.000,3,5,.600,0,3,3,1,0,0,0,2,7,5.0,-18
12,1,2016-04-16,EC1,BOS,@,ATL,1,L (-1),1,33:13,5,16,.313,2,7,.286,2,2,1.000,1,9,10,4,0,0,2,4,14,7.4,+3
13,2,2016-04-19,EC1,BOS,@,ATL,2,L (-17),1,34:41,1,9,.111,0,4,.000,0,0,,2,5,7,3,4,2,3,1,2,3.1,-17
14,3,2016-04-22,EC1,BOS,,ATL,3,W (+8),1,33:08,1,11,.091,1,7,.143,1,4,.250,1,7,8,3,3,0,0,2,4,2.6,+4
15,4,2016-04-24,EC1,BOS,,ATL,4,W (+9),1,40:47,4,11,.364,2,9,.222,2,3,.667,1,4,5,2,2,0,1,0,12,9.8,+5
16,5,2016-04-26,EC1,BOS,@,ATL,5,L (-27),1,27:34,4,10,.400,2,6,.333,0,0,,0,3,3,1,0,1,1,4,10,4.3,-19
17,6,2016-04-28,EC1,BOS,,ATL,6,L (-12),1,28:00,5,15,.333,3,8,.375,2,2,1.000,0,6,6,0,0,0,0,6,15,5.9,+7
18,1,2017-04-16,EC1,BOS,,CHI,1,L (-4),1,30:56,4,12,.333,1,5,.200,0,0,,2,6,8,0,1,0,0,5,9,4.4,-10
19,2,2017-04-18,EC1,BOS,,CHI,2,L (-14),1,35:21,6,11,.545,2,6,.333,2,2,1.000,1,2,3,4,0,0,2,3,16,11.6,-12
20,3,2017-04-21,EC1,BOS,@,CHI,3,W (+17),1,33:25,6,15,.400,2,7,.286,2,2,1.000,1,5,6,3,1,0,1,1,16,11.8,+23
21,4,2017-04-23,EC1,BOS,@,CHI,4,W (+9),1,40:00,5,9,.556,1,4,.250,0,0,,0,2,2,1,2,0,1,4,11,7.4,+5
22,5,2017-04-26,EC1,BOS,,CHI,5,W (+11),1,34:58,2,11,.182,0,5,.000,4,4,1.000,3,5,8,2,1,2,0,3,8,7.3,+9
23,6,2017-04-28,EC1,BOS,@,CHI,6,W (+22),1,27:53,4,8,.500,3,6,.500,1,2,.500,0,5,5,1,1,0,1,0,12,9.8,+26
24,7,2017-04-30,ECS,BOS,,WAS,1,W (+12),1,35:22,8,14,.571,6,8,.750,2,2,1.000,2,4,6,1,1,0,0,3,24,20.5,+26
25,8,2017-05-02,ECS,BOS,,WAS,2,W (+10),1,41:01,4,9,.444,0,3,.000,6,9,.667,2,5,7,4,1,2,1,2,14,14.4,+3
26,9,2017-05-04,ECS,BOS,@,WAS,3,L (-27),1,25:31,4,10,.400,2,4,.500,4,4,1.000,0,6,6,1,2,0,0,3,14,11.9,-18
27,10,2017-05-07,ECS,BOS,@,WAS,4,L (-19),1,30:49,2,9,.222,0,3,.000,2,2,1.000,0,7,7,4,4,1,0,5,6,8.1,-21
28,11,2017-05-10,ECS,BOS,,WAS,5,W (+22),1,26:05,6,15,.400,2,5,.400,4,4,1.000,1,7,8,2,0,0,1,2,18,12.3,+19
29,12,2017-05-12,ECS,BOS,@,WAS,6,L (-1),1,37:01,3,9,.333,1,4,.250,3,4,.750,0,7,7,8,0,0,0,1,10,11.8,+3
30,13,2017-05-15,ECS,BOS,,WAS,7,W (+10),1,31:55,7,12,.583,0,2,.000,0,0,,0,5,5,0,1,0,1,3,14,8.7,-1
31,14,2017-05-17,ECF,BOS,,CLE,1,L (-13),1,34:38,8,13,.615,4,6,.667,1,2,.500,4,4,8,5,0,0,0,5,21,20.2,-22
32,15,2017-05-19,ECF,BOS,,CLE,2,L (-44),1,22:40,3,9,.333,1,4,.250,2,2,1.000,0,4,4,1,1,0,1,1,9,5.4,-28
33,16,2017-05-21,ECF,BOS,@,CLE,3,W (+3),1,39:47,6,14,.429,2,8,.250,0,0,,2,9,11,4,3,0,1,4,14,13.9,+6
34,17,2017-05-23,ECF,BOS,@,CLE,4,L (-13),1,40:10,6,12,.500,4,7,.571,2,2,1.000,1,7,8,4,0,0,2,3,18,14.4,-16
