Rk,G,2017 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-04-15,EC1,TOR,,MIL,1,L (-14),0,29:19,2,7,.286,1,4,.250,2,2,1.000,2,2,4,1,0,0,0,2,7,4.8,+1
2,2,2017-04-18,EC1,TOR,,MIL,2,W (+6),0,27:52,2,4,.500,1,3,.333,0,2,.000,0,5,5,2,0,1,0,4,5,4.2,+2
3,3,2017-04-20,EC1,TOR,@,MIL,3,L (-27),0,14:18,0,0,,0,0,,0,0,,0,3,3,1,1,0,1,1,0,1.2,-13
4,4,2017-04-22,EC1,TOR,@,MIL,4,W (+11),0,28:22,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,3,0,-2.3,+7
5,5,2017-04-24,EC1,TOR,,MIL,5,W (+25),0,24:18,0,3,.000,0,2,.000,2,2,1.000,1,5,6,2,0,0,1,1,2,2.1,+12
6,6,2017-04-27,EC1,TOR,@,MIL,6,W (+3),0,20:45,1,4,.250,1,2,.500,1,2,.500,4,3,7,0,0,1,3,5,4,0.6,-9
7,7,2017-05-01,ECS,TOR,@,CLE,1,L (-11),0,25:53,6,11,.545,1,4,.250,0,0,,3,8,11,1,0,1,1,2,13,11.8,-1
8,8,2017-05-03,ECS,TOR,@,CLE,2,L (-22),0,15:33,0,3,.000,0,2,.000,0,0,,1,2,3,2,0,0,1,3,0,-1.6,-9
9,9,2017-05-05,ECS,TOR,,CLE,3,L (-21),0,18:56,2,4,.500,1,2,.500,0,0,,0,5,5,1,1,0,0,4,5,4.6,-9
10,10,2017-05-07,ECS,TOR,,CLE,4,L (-7),1,45:59,5,11,.455,4,7,.571,0,0,,4,8,12,1,4,0,1,2,14,16.4,-7
11,1,2018-04-15,WC1,HOU,,MIN,1,W (+3),1,30:46,1,5,.200,1,5,.200,0,0,,0,0,0,0,0,2,1,3,3,-0.9,+7
12,2,2018-04-18,WC1,HOU,,MIN,2,W (+20),1,22:53,2,6,.333,2,5,.400,0,1,.000,0,2,2,0,0,1,0,3,6,2.3,-1
13,3,2018-04-21,WC1,HOU,@,MIN,3,L (-16),1,22:43,1,6,.167,0,4,.000,2,2,1.000,0,5,5,1,0,1,1,1,4,1.7,-7
14,4,2018-04-23,WC1,HOU,@,MIN,4,W (+19),1,24:27,1,3,.333,1,2,.500,0,0,,0,4,4,0,0,1,0,1,3,2.8,+26
15,5,2018-04-25,WC1,HOU,,MIN,5,W (+18),1,33:06,5,8,.625,5,7,.714,0,0,,0,3,3,2,0,0,1,4,15,11.1,+8
16,6,2018-04-29,WCS,HOU,,UTA,1,W (+14),1,35:07,6,8,.750,3,5,.600,0,0,,2,4,6,0,1,0,0,3,15,14.2,+14
17,7,2018-05-02,WCS,HOU,,UTA,2,L (-8),1,33:17,2,9,.222,1,5,.200,0,0,,2,8,10,3,1,2,0,2,5,7.0,+3
18,8,2018-05-04,WCS,HOU,@,UTA,3,W (+21),1,24:37,4,6,.667,1,3,.333,0,0,,0,5,5,0,0,0,0,1,9,7.5,+20
19,9,2018-05-06,WCS,HOU,@,UTA,4,W (+13),1,34:51,3,6,.500,3,5,.600,2,2,1.000,1,6,7,1,0,1,0,2,11,11.1,+12
20,10,2018-05-08,WCS,HOU,,UTA,5,W (+10),1,35:44,7,9,.778,5,7,.714,0,0,,1,5,6,2,0,3,1,4,19,18.6,+12
21,11,2018-05-14,WCF,HOU,,GSW,1,L (-13),1,34:30,0,3,.000,0,2,.000,1,3,.333,1,4,5,2,1,1,1,3,1,0.9,-8
22,12,2018-05-16,WCF,HOU,,GSW,2,W (+22),1,36:28,8,9,.889,5,6,.833,1,2,.500,1,6,7,4,1,0,1,4,22,22.2,+22
23,13,2018-05-20,WCF,HOU,@,GSW,3,L (-41),1,32:46,2,5,.400,2,3,.667,0,0,,1,5,6,1,0,0,2,3,6,3.0,-19
24,14,2018-05-22,WCF,HOU,@,GSW,4,W (+3),1,44:08,0,4,.000,0,2,.000,4,4,1.000,4,12,16,2,2,1,0,3,4,10.5,+7
25,15,2018-05-24,WCF,HOU,,GSW,5,W (+4),1,42:14,3,6,.500,2,4,.500,0,0,,2,7,9,0,0,0,2,3,8,5.3,+14
26,16,2018-05-26,WCF,HOU,@,GSW,6,L (-29),1,37:18,2,6,.333,2,5,.400,0,0,,0,8,8,2,1,0,1,3,6,5.2,-14
27,17,2018-05-28,WCF,HOU,,GSW,7,L (-9),1,44:34,5,9,.556,2,5,.400,2,4,.500,8,4,12,2,4,0,3,3,14,16.9,-1
28,1,2019-04-14,WC1,HOU,,UTA,1,W (+32),1,32:23,4,8,.500,3,7,.429,0,0,,1,3,4,3,2,0,0,2,11,11.9,+16
29,2,2019-04-17,WC1,HOU,,UTA,2,W (+20),1,33:39,5,8,.625,4,7,.571,2,2,1.000,0,4,4,0,2,0,1,1,16,14.2,+17
30,3,2019-04-20,WC1,HOU,@,UTA,3,W (+3),1,35:28,3,11,.273,2,6,.333,4,6,.667,3,7,10,3,0,0,1,3,12,8.8,+3
